model,acc,precision,recall,F1,epochs,seed
patience dynamic 20,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,281,28728463
patience dynamic 20,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,135,23756669
patience dynamic 20,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,164,83197857
patience dynamic 20,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,181,21668732
patience dynamic 20,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,268,89254563
patience dynamic 20,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,261,66629388
patience dynamic 20,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,243,14265799
patience dynamic 20,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,162,13999315
patience dynamic 20,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,242,22575562
patience dynamic 20,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,461,39345092
patience dynamic 20,0.6993006993006993,0.6891025641025641,0.6574302134646962,0.6611187655001378,141,41227216
patience dynamic 20,0.6783216783216783,0.6704673423423424,0.6242816091954023,0.6224747474747474,177,77827638
patience dynamic 20,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,202,90801586
patience dynamic 20,0.6993006993006993,0.6891025641025641,0.6574302134646962,0.6611187655001378,241,13561597
patience dynamic 20,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,202,85329037
patience dynamic 20,0.6993006993006993,0.6947089947089947,0.6510673234811166,0.6534798534798535,150,36687537
patience dynamic 20,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,245,97226012
patience dynamic 20,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,221,83140807
patience dynamic 20,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,159,66306997
patience dynamic 20,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,184,39587039
patience dynamic 20,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,255,70291817
patience dynamic 20,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,283,89089901
patience dynamic 20,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,241,47338124
patience dynamic 20,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,242,10872248
patience dynamic 30,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,192,95822412
patience dynamic 30,0.7132867132867133,0.7098419173890872,0.6689244663382594,0.6733522758928074,159,24942603
patience dynamic 30,0.7272727272727273,0.7188372093023256,0.6931444991789819,0.6987522281639929,161,13356886
patience dynamic 30,0.6993006993006993,0.6891025641025641,0.6574302134646962,0.6611187655001378,161,46913810
patience dynamic 30,0.6923076923076923,0.6905968468468469,0.6389573070607554,0.6388888888888888,173,42868828
patience dynamic 30,0.6923076923076923,0.679368932038835,0.6516830870279147,0.6550438596491228,221,39958838
patience dynamic 30,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,161,28728463
patience dynamic 30,0.7062937062937062,0.6992481203007519,0.6631773399014778,0.6672207446808511,158,23756669
patience dynamic 30,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,192,83197857
patience dynamic 30,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,221,21668732
patience dynamic 30,0.6923076923076923,0.6868591473286563,0.6421387520525452,0.6433106575963718,342,89254563
patience dynamic 30,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,341,66629388
patience dynamic 30,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,213,14265799
patience dynamic 30,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,194,13999315
patience dynamic 30,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,319,22575562
